cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
avena,1923,1923/1924,Buenos Aires,6,Adolfo Alsina,6007,8000,6700,6700,1000
avena,1923,1923/1924,Buenos Aires,6,Adolfo Gonzales Chaves,6014,84000,78000,124800,1600
avena,1923,1923/1924,Buenos Aires,6,Alberti,6021,4700,4200,4494,1070
avena,1923,1923/1924,Buenos Aires,6,Ayacucho,6042,1780,1553,1508,971
avena,1923,1923/1924,Buenos Aires,6,Azul,6049,10000,8500,11390,1340
avena,1923,1923/1924,Buenos Aires,6,Bahía Blanca,6056,8000,6350,7620,1200
avena,1923,1923/1924,Buenos Aires,6,Balcarce,6063,4400,3800,5130,1350
avena,1923,1923/1924,Buenos Aires,6,Baradero,6070,750,450,355,790
avena,1923,1923/1924,Buenos Aires,6,Bartolome Mitre,6077,2000,1400,1120,800
avena,1923,1923/1924,Buenos Aires,6,Benito Juárez,6084,25500,20000,28600,1430
avena,1923,1923/1924,Buenos Aires,6,Bolívar,6105,17300,14980,21571,1440
avena,1923,1923/1924,Buenos Aires,6,Bragado,6112,6000,4800,4920,1025
avena,1923,1923/1924,Buenos Aires,6,Campana,6126,400,170,146,860
avena,1923,1923/1924,Buenos Aires,6,Carlos Casares,6147,4700,4000,4480,1120
avena,1923,1923/1924,Buenos Aires,6,Carlos Tejedor,6154,7000,6000,7320,1220
avena,1923,1923/1924,Buenos Aires,6,Carmen de Areco,6161,400,180,126,700
avena,1923,1923/1924,Buenos Aires,6,Castelli,6168,1080,780,780,1000
avena,1923,1923/1924,Buenos Aires,6,Colón,6175,500,150,105,700
avena,1923,1923/1924,Buenos Aires,6,Coronel Dorrego,6189,89500,76000,109212,1437
avena,1923,1923/1924,Buenos Aires,6,Coronel Pringles,6196,46000,41500,58307,1405
avena,1923,1923/1924,Buenos Aires,6,Coronel Suárez,6203,13000,10650,12780,1200
avena,1923,1923/1924,Buenos Aires,6,Chacabuco,6210,3000,2400,2184,910
avena,1923,1923/1924,Buenos Aires,6,Chascomús,6218,1320,1000,1000,1000
avena,1923,1923/1924,Buenos Aires,6,Chivilcoy,6224,5000,4000,4320,1080
avena,1923,1923/1924,Buenos Aires,6,Exaltación de la Cruz,6266,1000,900,666,740
avena,1923,1923/1924,Buenos Aires,6,General Alvarado,6280,3400,2860,4433,1550
avena,1923,1923/1924,Buenos Aires,6,General Alvear,6287,2000,1800,1620,900
avena,1923,1923/1924,Buenos Aires,6,General Arenales,6294,3000,1630,1450,890
avena,1923,1923/1924,Buenos Aires,6,General Belgrano,6301,1000,850,680,800
avena,1923,1923/1924,Buenos Aires,6,General Juan Madariaga,6315,800,,,
avena,1923,1923/1924,Buenos Aires,6,General La Madrid,6322,6400,6000,5520,920
avena,1923,1923/1924,Buenos Aires,6,General Paz,6343,860,850,790,930
avena,1923,1923/1924,Buenos Aires,6,General Pinto,6351,7000,6000,7440,1240
