cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
maíz,1923,1923/1924,Buenos Aires,06,25 de Mayo,06854,40000,,120000,3000
maíz,1923,1923/1924,Buenos Aires,06,9 de Julio,06588,47000,,134300,2857
maíz,1923,1923/1924,Buenos Aires,06,Adolfo Alsina,06007,22000,,19000,864
maíz,1923,1923/1924,Buenos Aires,06,Adolfo Gonzales Chaves,06014,2100,,1680,800
maíz,1923,1923/1924,Buenos Aires,06,Alberti,06021,23000,,66200,2878
maíz,1923,1923/1924,Buenos Aires,06,Ayacucho,06042,4900,,3675,750
maíz,1923,1923/1924,Buenos Aires,06,Azul,06049,6500,,5400,831
maíz,1923,1923/1924,Buenos Aires,06,Bahía Blanca,06056,1000,,500,500
maíz,1923,1923/1924,Buenos Aires,06,Balcarce,06063,3000,,2925,975
maíz,1923,1923/1924,Buenos Aires,06,Baradero,06070,40000,,76800,1920
maíz,1923,1923/1924,Buenos Aires,06,Bartolome Mitre,06077,69000,,132480,1920
maíz,1923,1923/1924,Buenos Aires,06,Benito Juárez,06084,2700,,1890,700
maíz,1923,1923/1924,Buenos Aires,06,Bolívar,06105,42000,,115000,2738
maíz,1923,1923/1924,Buenos Aires,06,Bragado,06112,32000,,96400,3012
maíz,1923,1923/1924,Buenos Aires,06,Campana,06126,4200,,6860,1633
maíz,1923,1923/1924,Buenos Aires,06,Cañuelas,06134,4000,,4500,1125
maíz,1923,1923/1924,Buenos Aires,06,Carlos Casares,06147,18000,,51840,2880
maíz,1923,1923/1924,Buenos Aires,06,Carlos Tejedor,06154,14000,,8340,596
maíz,1923,1923/1924,Buenos Aires,06,Carmen de Areco,06161,10500,,25200,2400
maíz,1923,1923/1924,Buenos Aires,06,Caseros,06840,15000,,12900,860
maíz,1923,1923/1924,Buenos Aires,06,Castelli,06168,4490,,5556,1237
maíz,1923,1923/1924,Buenos Aires,06,Chacabuco,06210,30000,,71500,2383
