cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
soja,1969,1969/70,Buenos Aires,06,Arrecifes,06077,150,150,191,1273
soja,1969,1969/70,Buenos Aires,06,Capitán Sarmiento,06140,50,50,65,1300
soja,1969,1969/70,Buenos Aires,06,Colón,06175,120,120,144,1200
soja,1969,1969/70,Buenos Aires,06,Pergamino,06623,600,600,780,1300
soja,1969,1969/70,Buenos Aires,06,Rojas,06686,150,150,170,1133
soja,1969,1969/70,Buenos Aires,06,Salto,06714,200,200,250,1250
soja,1969,1969/70,Chaco,22,1° de Mayo,22126,20,20,13,650
soja,1969,1969/70,Chaco,22,25 de Mayo,22168,10,10,7,700
soja,1969,1969/70,Chaco,22,General Donovan,22056,30,30,20,667
soja,1969,1969/70,Chaco,22,Libertador General San Martín,22084,40,40,32,800
soja,1969,1969/70,Chaco,22,O'Higgins,22112,30,30,24,800
soja,1969,1969/70,Chaco,22,Quitilipi,22133,10,10,7,700
soja,1969,1969/70,Chaco,22,San Fernando,22140,10,10,7,700
soja,1969,1969/70,Corrientes,18,Empedrado,18042,7,7,8,1143
soja,1969,1969/70,Corrientes,18,Ituzaingó,18084,468,445,504,1133
soja,1969,1969/70,Corrientes,18,Saladas,18126,25,24,24,1000
soja,1969,1969/70,Corrientes,18,Santo Tomé,18168,100,94,94,1000
soja,1969,1969/70,Formosa,34,Laishí,34021,15,15,15,1000
soja,1969,1969/70,Formosa,34,Pirané,34056,180,175,145,829
soja,1969,1969/70,Mendoza,50,San Carlos,50091,35,0,0,0
soja,1969,1969/70,Misiones,54,25 de Mayo,54119,860,817,703,860
soja,1969,1969/70,Misiones,54,Apóstoles,54007,75,71,60,845
soja,1969,1969/70,Misiones,54,Cainguás,54014,2850,2679,2679,1000
soja,1969,1969/70,Misiones,54,Candelaria,54021,220,207,186,899
